Generation,Season,Paradigm,Year,NR,Group,Sex,EAT_E_%,EAT_I_%,EAT_TOT_%%,EAT_E_T,EAT_I_T,EAT_TOT_T,Expl_E_BEF_Calc,Expl_I_BEF_Calc,EXPL_BEF,Expl_E_BEF_AFT_Nr,Expl_I_BEF_AFT_Nr,EXPL_TOT,Expl_E_BEF_AFT_T,Expl_I_BEF_AFT_T,Expl_TOT_T,Lat_Tot_Log,Lat_E_Log,Lat_I_Log,Box_E_BEF_Nr,Box_I_BEF_Nr,Box_E_I_BEF_Nr,Box_REP_E_BEF_Nr,Box_REP_I_BEF_Nr,Box_REP_E_I_BEF_Nr,Expl_REP_E_BEF_Calc_T,Expl_REP_I_BEF_Calc_T,Expl_REP_E_I_BEF_Calc_T,Expl_REP_E_BEF_AFT_Nr,Expl_REP_I_BEF_AFT_Nr,Expl_REP_TOT_Nr,Dir_Change_Nr,Circle_Nr,LOCO_TOT,Explored Area,Loco_BEF_NR,Expl_E_BEF_Ratio,Expl_E_TOT_Ratio,L_C_E,L_C_I,L_C,A_E,Expl_E_BEF_Loco_ratio,Expl_I_BEF_Loco_ratio,Expl_EI_BEF_Loco_ratio,Expl_E_TOT_Loco_ratio,Expl_I_TOT_Loco_ratio,Expl_E_I_TOT_Loco_ratio,Eff_Expl_E,Eff_Expl_I,Eff_Expl_EI,E_E,WM_ERROR_E,WM_ERROR_I,WM_ERROR_EI,WM_ERR_RW,id,EAT_E_%_2,EAT_I_%_2,EAT_TOT_%%_2,EAT_E_T_2,EAT_I_T_2,EAT_TOT_T_2,Expl_E_BEF_Calc_2,Expl_I_BEF_Calc_2,EXPL_BEF_2,Expl_E_BEF_AFT_Nr_2,Expl_I_BEF_AFT_Nr_2,EXPL_TOT_2,Expl_E_BEF_AFT_T_2,Expl_I_BEF_AFT_T_2,Expl_TOT_T_2,Lat_Tot_Log_2,Lat_E_Log_2,Lat_I_Log_2,Box_E_BEF_Nr_2,Box_I_BEF_Nr_2,Box_E_I_BEF_Nr_2,Box_REP_E_BEF_Nr_2,Box_REP_I_BEF_Nr_2,Box_REP_E_I_BEF_Nr_2,Expl_REP_E_BEF_Calc_T_2,Expl_REP_I_BEF_Calc_T_2,Expl_REP_E_I_BEF_Calc_T_2,Expl_REP_E_BEF_AFT_Nr_2,Expl_REP_I_BEF_AFT_Nr_2,Expl_REP_TOT_Nr_2,Dir_Change_Nr_2,Circle_Nr_2,LOCO_TOT_2,Explored Area_2,Expl_E_BEF_Ratio_2,Expl_E_TOT_Ratio_2,L_C_E_2,L_C_I_2,L_C_2,A_E_2,Expl_E_BEF_Loco_ratio_2,Expl_I_BEF_Loco_ratio_2,Expl_EI_BEF_Loco_ratio_2,Expl_E_TOT_Loco_ratio_2,Expl_I_TOT_Loco_ratio_2,Expl_E_I_TOT_Loco_ratio_2,Eff_Expl_E_2,Eff_Expl_I_2,Eff_Expl_EI_2,E_E_2,WM_ERROR_E_2,WM_ERROR_I_2,WM_ERROR_EI_2,WM_ERR_RW_2,EAT_I_%_3,EAT_TOT_%%_3,EAT_I_T_3,EAT_TOT_T_3,Expl_E_BEF_Calc_3,Expl_I_BEF_Calc_3,EXPL_BEF_3,Expl_E_BEF_AFT_Nr_3,Expl_I_BEF_AFT_Nr_3,EXPL_TOT_3,Expl_E_BEF_AFT_T_3,Expl_I_BEF_AFT_T_3,Expl_TOT_T_3,Lat_Tot_Log_3,Lat_E_Log_3,Lat_I_Log_3,Box_E_BEF_Nr_3,Box_I_BEF_Nr_3,Box_E_I_BEF_Nr_3,Box_REP_E_BEF_Nr_3,Box_REP_I_BEF_Nr_3,Box_REP_E_I_BEF_Nr_3,Expl_REP_E_BEF_Calc_T_3,Expl_REP_I_BEF_Calc_T_3,Expl_REP_E_I_BEF_Calc_T_3,Expl_REP_E_BEF_AFT_Nr_3,Expl_REP_I_BEF_AFT_Nr_3,Expl_REP_TOT_Nr_3,Dir_Change_Nr_3,Circle_Nr_3,LOCO_TOT_3,Explored Area_3,Expl_E_BEF_Ratio_3,Expl_E_TOT_Ratio_3,L_C_I_3,L_C_3,A_E_3,Expl_E_BEF_Loco_ratio_3,Expl_I_BEF_Loco_ratio_3,Expl_EI_BEF_Loco_ratio_3,Expl_E_TOT_Loco_ratio_3,Expl_I_TOT_Loco_ratio_3,Expl_E_I_TOT_Loco_ratio_3,Eff_Expl_I_3,Eff_Expl_EI_3,E_E_3,WM_ERROR_E_3,WM_ERROR_I_3,WM_ERROR_EI_3,WM_ERR_RW_3,WM_ERR_NRW_3,EAT_I_%_4,EAT_TOT_%%_4,EAT_I_T_4,EAT_TOT_T_4,Expl_E_BEF_Calc_4,Expl_I_BEF_Calc_4,EXPL_BEF_4,Expl_E_BEF_AFT_Nr_4,Expl_I_BEF_AFT_Nr_4,EXPL_TOT_4,Expl_E_BEF_AFT_T_4,Expl_I_BEF_AFT_T_4,Expl_TOT_T_4,Lat_Tot_Log_4,Lat_E_Log_4,Lat_I_Log_4,Box_E_BEF_Nr_4,Box_I_BEF_Nr_4,Box_E_I_BEF_Nr_4,Box_REP_E_BEF_Nr_4,Box_REP_I_BEF_Nr_4,Box_REP_E_I_BEF_Nr_4,Expl_REP_E_BEF_Calc_T_4,Expl_REP_I_BEF_Calc_T_4,Expl_REP_E_I_BEF_Calc_T_4,Expl_REP_E_BEF_AFT_Nr_4,Expl_REP_I_BEF_AFT_Nr_4,Expl_REP_TOT_Nr_4,Dir_Change_Nr_4,Circle_Nr_4,LOCO_TOT_4,Explored Area_4,Expl_E_BEF_Ratio_4,Expl_E_TOT_Ratio_4,L_C_I_4,L_C_4,A_E_4,Expl_E_BEF_Loco_ratio_4,Expl_I_BEF_Loco_ratio_4,Expl_EI_BEF_Loco_ratio_4,Expl_E_TOT_Loco_ratio_4,Expl_I_TOT_Loco_ratio_4,Expl_E_I_TOT_Loco_ratio_4,Eff_Expl_I_4,Eff_Expl_EI_4,E_E_4,WM_ERROR_E_4,WM_ERROR_I_4,WM_ERROR_EI_4,WM_ERR_RW_4,WM_ERR_NRW_4
0,Autumn,1,0,1,Lisket,Male,100.0,75.0,87.5,225.0,300,300,24.0,14.0,38.0,24,14,38,11806,10872,22678,3.4449811120879446,4.087852375163169,3.4449811120879446,8,8,16,7,5,12,16.0,6.0,22.0,16,6,22,11.0,0.0,13,3,13,63.1578947368421,63.1578947368421,133.33333333333334,75.0,87.5,36.8421052631579,1.8461538461538463,1.0769230769230769,2.923076923076923,1.8461538461538463,1.0769230769230769,2.923076923076923,1.0,0.75,0.875,0.875,0.04,0.0594059405940594,0.08823529411764706,0.08823529411764706,Lisket_1_0,100.0,100.0,100.0,202.0,193,202,16.336633663366335,19.306930693069308,35.64356435643565,15,21,36,9306,23400,32706,4.846436085348534,3.470116353151004,3.470116353151004,8,8,16,3,4,7,4.455445544554456,7.425742574257426,11.881188118811881,4,7,11,10.0,0.0,10,2,45.833333333333336,41.666666666666664,148.5148514851485,155.44041450777203,148.5148514851485,66.66666666666667,1.5714285714285714,1.8571428571428572,3.4285714285714284,1.5,2.1,3.6,1.0,1.0,1.0,1.0,0.034653465346534656,0.051470588235294115,0.08235294117647059,0.08235294117647059,100.0,100.0,136,136,22.058823529411764,39.705882352941174,61.76470588235294,20,26,46,11894,16092,27986,4.6899212353452295,4.570227611697569,4.570227611697569,7,8,15,3,6,9,6.617647058823529,22.058823529411764,28.676470588235293,6,12,18,9.0,3.0,26,4,35.714285714285715,43.47826086956522,220.58823529411765,220.58823529411765,28.571428571428573,1.0,1.8,2.8,0.7692307692307693,1.0,1.7692307692307692,1.0,0.5333333333333333,1.0,0.0661764705882353,0.10588235294117647,0.03,0.10588235294117647,0.03,100.0,100.0,85,85,35.294117647058826,67.05882352941177,102.3529411764706,26,33,59,19844,21915,41759,4.378833793740069,4.088100634642659,4.088100634642659,8,8,16,2,7,9,7.0588235294117645,38.8235294117647,45.88235294117647,11,17,28,10.0,0.0,14,3,34.48275862068966,44.067796610169495,352.94117647058823,352.94117647058823,27.586206896551722,1.6666666666666667,3.1666666666666665,4.833333333333333,1.8571428571428572,2.357142857142857,4.214285714285714,1.0,0.5,1.0,0.10588235294117647,0.03,0.03543307086614173,0.03,0.03543307086614173
0,Autumn,1,0,2,Lisket,Male,87.5,75.0,81.25,300.0,300,300,16.0,11.0,27.0,16,11,27,14964,9479,24443,4.038063526997859,4.539715772518249,4.038063526997859,7,6,13,5,5,10,11.0,6.0,17.0,11,6,17,10.0,0.0,12,3,12,59.25925925925926,59.25925925925926,87.5,75.0,81.25,48.148148148148145,1.3333333333333333,0.9166666666666666,2.25,1.3333333333333333,0.9166666666666666,2.25,1.0,1.0,1.0,1.0,0.03333333333333333,0.03937007874015748,0.09433962264150944,0.09433962264150944,Lisket_2_0,100.0,100.0,100.0,187.0,254,254,30.708661417322833,23.62204724409449,54.330708661417326,30,25,55,15818,15674,31492,4.647803367088609,4.031650793551264,4.031650793551264,8,8,16,8,7,15,21.25984251968504,14.173228346456693,35.43307086614173,18,12,30,9.0,0.0,9,2,56.52173913043478,54.54545454545455,160.42780748663102,118.11023622047244,118.11023622047244,34.78260869565217,3.25,2.5,5.75,3.3333333333333335,2.7777777777777777,6.111111111111111,1.0,1.0,1.0,1.0,0.05905511811023622,0.14150943396226415,0.13513513513513514,0.13513513513513514,100.0,100.0,106,106,28.30188679245283,50.943396226415096,79.24528301886792,24,30,54,23417,20822,44239,4.560325164529279,3.5327543789924976,3.5327543789924976,8,8,16,2,5,7,5.660377358490566,28.30188679245283,33.9622641509434,8,15,23,4.0,4.0,24,4,35.714285714285715,44.44444444444444,283.0188679245283,283.0188679245283,28.571428571428573,1.0,1.8,2.8,1.0,1.25,2.25,1.0,0.5,1.0,0.0660377358490566,0.06306306306306306,0.023333333333333334,0.06306306306306306,0.023333333333333334,100.0,100.0,111,111,21.62162162162162,43.24324324324324,64.86486486486487,26,36,62,16746,35633,52379,3.41077723337721,4.503736222654338,3.41077723337721,6,8,14,1,7,8,5.405405405405405,21.62162162162162,27.027027027027028,12,20,32,2.0,3.0,17,4,33.333333333333336,41.935483870967744,270.27027027027026,270.27027027027026,33.333333333333336,2.6666666666666665,5.333333333333333,8.0,1.5294117647058822,2.1176470588235294,3.6470588235294117,1.0,0.5714285714285714,1.0,0.07207207207207207,0.02666666666666667,0.036036036036036036,0.02666666666666667,0.036036036036036036
0,Autumn,1,0,3,Lisket,Male,100.0,75.0,87.5,272.0,300,300,21.0,12.0,33.0,21,12,33,16624,13495,30119,3.7996162044814987,4.287891265954026,3.7996162044814987,8,6,14,6,4,10,13.0,7.0,20.0,13,7,20,10.0,0.0,11,2,11,63.63636363636363,63.63636363636363,110.29411764705883,75.0,87.5,42.42424242424242,1.9090909090909092,1.0909090909090908,3.0,1.9090909090909092,1.0909090909090908,3.0,1.0,1.0,1.0,1.0,0.03333333333333333,0.04504504504504504,0.06172839506172839,0.06172839506172839,Lisket_3_0,100.0,100.0,100.0,222.0,208,222,27.027027027027028,31.08108108108108,58.108108108108105,28,32,60,16974,15497,32471,4.337379383695819,4.201588281073518,4.201588281073518,8,8,16,6,7,13,16.216216216216218,20.27027027027027,36.486486486486484,13,17,30,9.0,0.0,10,2,46.51162790697674,46.666666666666664,135.13513513513513,144.23076923076923,135.13513513513513,37.2093023255814,3.3333333333333335,3.8333333333333335,7.166666666666667,2.8,3.2,6.0,1.0,1.0,1.0,1.0,0.05855855855855856,0.08024691358024691,0.14130434782608695,0.14130434782608695,100.0,100.0,162,162,37.03703703703704,33.333333333333336,70.37037037037037,39,39,78,17398,28791,46189,4.655301744947294,4.433129517580485,4.433129517580485,8,8,16,8,6,14,22.22222222222222,18.51851851851852,40.74074074074074,23,23,46,2.0,6.0,30,4,52.63157894736842,50.0,185.1851851851852,185.1851851851852,21.05263157894737,1.25,1.125,2.375,1.3,1.3,2.6,1.0,0.5,1.0,0.08641975308641975,0.15217391304347827,0.04666666666666667,0.15217391304347827,0.04666666666666667,100.0,100.0,92,92,19.565217391304348,45.65217391304348,65.21739130434783,27,40,67,15837,23529,39366,4.616863947041849,4.139280732718524,4.139280732718524,6,8,14,0,6,6,0.0,19.565217391304348,19.565217391304348,13,24,37,11.0,0.0,13,3,30.0,40.298507462686565,326.0869565217391,326.0869565217391,40.0,3.0,7.0,10.0,2.076923076923077,3.076923076923077,5.153846153846154,1.0,0.5714285714285714,1.0,0.06521739130434782,0.02,0.02,0.02,0.02
0,Autumn,1,0,4,LE,Male,87.5,87.5,87.5,300.0,300,300,11.0,15.0,26.0,11,15,26,12076,14225,26301,4.062544381346465,4.2187455122234745,4.062544381346465,7,8,15,4,4,8,4.0,7.0,11.0,4,7,11,7.0,0.0,8,3,8,42.30769230769231,42.30769230769231,87.5,87.5,87.5,53.84615384615385,1.375,1.875,3.25,1.375,1.875,3.25,1.0,0.875,0.9333333333333333,0.9333333333333333,0.02666666666666667,0.02666666666666667,0.05555555555555555,0.05555555555555555,LE_4_0,100.0,87.5,93.75,146.0,300,300,34.0,21.0,55.0,34,21,55,20786,10466,31252,4.199892243526319,4.6792097860449315,4.199892243526319,8,8,16,8,7,15,26.0,13.0,39.0,26,13,39,12.0,0.0,12,2,61.81818181818182,61.81818181818182,205.4794520547945,87.5,93.75,27.272727272727273,2.8333333333333335,1.75,4.583333333333333,2.8333333333333335,1.75,4.583333333333333,1.0,0.875,0.9375,0.9375,0.05,0.10416666666666667,0.1282051282051282,0.1282051282051282,100.0,100.0,144,144,12.5,29.166666666666668,41.666666666666664,21,27,48,10951,20371,31322,4.665111737075051,3.5646660642520893,3.5646660642520893,4,8,12,2,4,6,4.166666666666667,12.5,16.666666666666668,9,11,20,6.0,0.0,17,4,30.0,43.75,208.33333333333334,208.33333333333334,40.0,1.0,2.3333333333333335,3.3333333333333335,1.2352941176470589,1.588235294117647,2.823529411764706,1.0,0.6666666666666666,1.0,0.041666666666666664,0.05128205128205128,0.02,0.05128205128205128,0.02,100.0,100.0,117,117,23.076923076923077,43.58974358974359,66.66666666666667,31,41,72,15848,28186,44034,4.088490470182396,4.435047641339964,4.088490470182396,6,8,14,2,7,9,7.6923076923076925,23.076923076923077,30.76923076923077,17,25,42,11.0,0.0,11,2,34.61538461538461,43.05555555555556,256.4102564102564,256.4102564102564,30.76923076923077,4.5,8.5,13.0,2.8181818181818183,3.727272727272727,6.545454545454546,1.0,0.5714285714285714,1.0,0.07692307692307693,0.03,0.03,0.03,0.03
0,Autumn,1,0,5,Lisket,Male,50.0,75.0,62.5,300.0,300,300,5.0,9.0,14.0,5,9,14,5628,10027,15655,3.958468318366944,4.246523199966574,3.958468318366944,5,6,11,0,3,3,0.0,4.0,4.0,0,4,4,7.0,0.0,8,2,8,35.714285714285715,35.714285714285715,50.0,75.0,62.5,71.42857142857143,0.625,1.125,1.75,0.625,1.125,1.75,0.8,1.0,0.9090909090909091,0.9090909090909091,0.01,0.01,0.010948905109489052,0.010948905109489052,Lisket_5_0,100.0,75.0,87.5,271.0,300,300,20.0,14.0,34.0,20,14,34,12698,12561,25259,4.98870161746359,3.6266482684740105,3.6266482684740105,8,6,14,6,4,10,12.0,8.0,20.0,12,8,20,3.0,1.0,12,4,58.8235294117647,58.8235294117647,110.7011070110701,75.0,87.5,41.1764705882353,1.6666666666666667,1.1666666666666667,2.8333333333333335,1.6666666666666667,1.1666666666666667,2.8333333333333335,1.0,1.0,1.0,1.0,0.03333333333333333,0.0364963503649635,0.07936507936507936,0.07936507936507936,100.0,100.0,274,274,12.043795620437956,24.087591240875913,36.13138686131387,12,24,36,5600,18445,24045,4.733646579567771,4.179436883244977,4.179436883244977,7,8,15,4,7,11,4.37956204379562,15.328467153284672,19.708029197080293,4,15,19,2.0,2.0,12,4,33.333333333333336,33.333333333333336,109.48905109489051,109.48905109489051,24.242424242424242,0.9166666666666666,1.8333333333333333,2.75,1.0,2.0,3.0,1.0,0.5333333333333333,1.0,0.040145985401459854,0.0873015873015873,0.03666666666666667,0.0873015873015873,0.03666666666666667,100.0,100.0,126,126,19.047619047619047,38.095238095238095,57.142857142857146,17,29,46,16950,22327,39277,4.567590934950823,4.29939833006815,4.29939833006815,7,8,15,1,6,7,2.380952380952381,19.047619047619047,21.428571428571427,2,14,16,8.0,0.0,9,2,33.333333333333336,36.95652173913044,238.0952380952381,238.0952380952381,33.333333333333336,2.6666666666666665,5.333333333333333,8.0,1.8888888888888888,3.2222222222222223,5.111111111111111,1.0,0.5333333333333333,1.0,0.05555555555555555,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.023333333333333334
0,Autumn,1,0,6,LE,Male,75.0,62.5,68.75,300.0,300,300,15.0,10.0,25.0,15,10,25,12871,9224,22095,3.5896145406312665,4.068408519778162,3.5896145406312665,7,5,12,4,3,7,8.0,5.0,13.0,8,5,13,3.0,1.0,13,4,13,60.0,60.0,75.0,62.5,68.75,44.0,1.1538461538461537,0.7692307692307693,1.9230769230769231,1.1538461538461537,0.7692307692307693,1.9230769230769231,0.8571428571428571,1.0,0.9166666666666666,0.9166666666666666,0.023333333333333334,0.023333333333333334,0.04964539007092199,0.04964539007092199,LE_6_0,25.0,87.5,56.25,300.0,300,300,6.0,14.0,20.0,6,14,20,4888,11748,16636,4.154393537956997,4.482859297371087,4.154393537956997,3,8,11,1,5,6,3.0,6.0,9.0,3,6,9,2.0,0.0,2,2,30.0,30.0,25.0,87.5,56.25,45.0,3.0,7.0,10.0,3.0,7.0,10.0,0.6666666666666666,0.875,0.8181818181818182,0.8181818181818182,0.02,0.0425531914893617,0.046511627906976744,0.046511627906976744,100.0,100.0,141,141,17.02127659574468,25.53191489361702,42.5531914893617,20,25,45,14100,21406,35506,4.260190683269963,4.083502619830267,4.083502619830267,7,8,15,1,2,3,2.127659574468085,8.51063829787234,10.638297872340425,6,9,15,11.0,0.0,15,3,40.0,44.44444444444444,212.7659574468085,212.7659574468085,40.0,1.1428571428571428,1.7142857142857142,2.857142857142857,1.3333333333333333,1.6666666666666667,3.0,1.0,0.5333333333333333,1.0,0.02127659574468085,0.023255813953488372,0.01,0.023255813953488372,0.01,100.0,100.0,129,129,6.976744186046512,34.883720930232556,41.86046511627907,22,37,59,20873,27482,48355,4.817135489579143,4.389183810308165,4.389183810308165,3,8,11,0,6,6,0.0,16.27906976744186,16.27906976744186,11,21,32,6.0,0.0,10,3,16.666666666666668,37.28813559322034,232.5581395348837,232.5581395348837,44.44444444444444,1.5,7.5,9.0,2.2,3.7,5.9,1.0,0.7272727272727273,1.0,0.046511627906976744,0.02,0.03208556149732621,0.02,0.03208556149732621
0,Autumn,1,0,7,LE,Female,100.0,62.5,81.25,282.0,300,300,16.0,8.0,24.0,16,8,24,9402,5106,14508,4.207284205912198,3.841922311679451,3.841922311679451,8,7,15,5,1,6,8.0,1.0,9.0,8,1,9,4.0,2.0,20,4,20,66.66666666666667,66.66666666666667,106.38297872340425,62.5,81.25,54.166666666666664,0.8,0.4,1.2,0.8,0.4,1.2,1.0,0.7142857142857143,0.8666666666666667,0.8666666666666667,0.02,0.03208556149732621,0.02926829268292683,0.02926829268292683,LE_7_0,100.0,100.0,100.0,187.0,116,187,27.272727272727273,20.855614973262032,48.1283422459893,21,19,40,7265,9434,16699,4.63811969986024,3.9907826918031377,3.9907826918031377,8,8,16,7,4,11,14.438502673796792,8.02139037433155,22.459893048128343,10,5,15,6.0,2.0,22,4,56.666666666666664,52.5,160.42780748663102,258.62068965517244,160.42780748663102,53.333333333333336,1.4166666666666667,1.0833333333333333,2.5,0.9545454545454546,0.8636363636363636,1.8181818181818181,1.0,1.0,1.0,1.0,0.058823529411764705,0.05365853658536585,0.1527777777777778,0.1527777777777778,100.0,100.0,205,205,21.951219512195124,30.73170731707317,52.68292682926829,25,30,55,12633,17817,30450,3.7330366829335797,3.9293678292400998,3.7330366829335797,8,8,16,5,7,12,10.24390243902439,19.024390243902438,29.26829268292683,9,15,24,5.0,3.0,22,4,41.666666666666664,45.45454545454545,146.34146341463415,146.34146341463415,22.22222222222222,1.0,1.4,2.4,1.1363636363636365,1.3636363636363635,2.5,1.0,0.5,1.0,0.05853658536585366,0.16666666666666666,0.04,0.16666666666666666,0.04,100.0,100.0,72,72,25.0,70.83333333333333,95.83333333333333,25,33,58,13250,18871,32121,4.244326610230636,3.791971201020768,3.791971201020768,6,8,14,0,7,7,0.0,37.5,37.5,11,18,29,1.0,6.0,26,4,26.08695652173913,43.10344827586207,416.6666666666667,416.6666666666667,34.78260869565217,2.0,5.666666666666667,7.666666666666667,0.9615384615384616,1.2692307692307692,2.230769230769231,1.0,0.5714285714285714,1.0,0.09722222222222222,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.023333333333333334
0,Autumn,1,0,8,Lisket,Female,37.5,50.0,43.75,300.0,300,300,13.0,8.0,21.0,13,8,21,21006,7097,28103,4.264841425329148,4.987460685966844,4.264841425329148,5,4,9,2,3,5,8.0,5.0,13.0,8,5,13,3.0,2.0,16,4,16,61.904761904761905,61.904761904761905,37.5,50.0,43.75,33.333333333333336,0.8125,0.5,1.3125,0.8125,0.5,1.3125,0.6,1.0,0.7777777777777778,0.7777777777777778,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,Lisket_8_0,100.0,50.0,75.0,300.0,300,300,25.0,12.0,37.0,25,12,37,19757,5291,25048,4.34478512263266,3.9159272116971158,3.9159272116971158,8,6,14,7,5,12,17.0,6.0,23.0,17,6,23,3.0,4.0,28,4,67.56756756756756,67.56756756756756,100.0,50.0,75.0,32.432432432432435,0.8928571428571429,0.42857142857142855,1.3214285714285714,0.8928571428571429,0.42857142857142855,1.3214285714285714,1.0,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.04,0.04,0.04,0.04,100.0,100.0,300,300,25.0,28.0,53.0,25,28,53,17383,27134,44517,4.628971005345094,4.187210399650053,4.187210399650053,8,8,16,7,7,14,17.0,20.0,37.0,17,20,37,3.0,7.0,33,4,47.16981132075472,47.16981132075472,100.0,100.0,15.09433962264151,0.8064516129032258,0.9032258064516129,1.7096774193548387,0.7575757575757576,0.8484848484848485,1.606060606060606,1.0,0.5,1.0,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.04666666666666667,87.5,87.5,300,300,6.0,17.0,23.0,6,17,23,8209,8999,17208,4.606628541616139,5.0224077489256045,4.606628541616139,3,7,10,2,5,7,3.0,10.0,13.0,3,10,13,1.0,3.0,14,4,26.08695652173913,26.08695652173913,87.5,87.5,30.434782608695652,0.42857142857142855,1.2142857142857142,1.6428571428571428,0.42857142857142855,1.2142857142857142,1.6428571428571428,1.0,0.7,1.0,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.023333333333333334
0,Autumn,1,0,9,Lisket,Female,50.0,0.0,25.0,300.0,300,300,12.0,6.0,18.0,12,6,18,14180,9668,23848,4.737876158125802,4.520024759382907,4.520024759382907,6,4,10,5,1,6,6.0,2.0,8.0,6,2,8,3.0,3.0,23,4,23,66.66666666666667,66.66666666666667,50.0,0.0,25.0,22.22222222222222,0.5217391304347826,0.2608695652173913,0.782608695652174,0.5217391304347826,0.2608695652173913,0.782608695652174,0.6666666666666666,0.0,0.4,0.4,0.02,0.02,0.031088082901554404,0.031088082901554404,Lisket_9_0,37.5,12.5,25.0,300.0,300,300,9.0,10.0,19.0,9,10,19,8538,7209,15747,4.67881873045889,4.474070503215043,4.474070503215043,6,7,13,2,3,5,3.0,3.0,6.0,3,3,6,5.0,2.0,20,4,47.36842105263158,47.36842105263158,37.5,12.5,25.0,21.05263157894737,0.45,0.5,0.95,0.45,0.5,0.95,0.5,0.14285714285714285,0.3076923076923077,0.3076923076923077,0.016666666666666666,0.025906735751295335,0.021367521367521368,0.021367521367521368,100.0,100.0,193,193,17.098445595854923,27.979274611398964,45.07772020725388,17,22,39,11130,17762,28892,4.771212547196624,3.9776321652459994,3.9776321652459994,6,8,14,5,6,11,7.772020725388601,15.544041450777202,23.316062176165804,6,10,16,2.0,2.0,15,4,37.93103448275862,43.58974358974359,155.44041450777203,155.44041450777203,27.586206896551722,1.1,1.8,2.9,1.1333333333333333,1.4666666666666666,2.6,1.0,0.5714285714285714,1.0,0.05699481865284974,0.04700854700854701,0.03666666666666667,0.04700854700854701,0.03666666666666667,100.0,100.0,234,234,11.538461538461538,25.641025641025642,37.17948717948718,14,29,43,14411,28490,42901,4.99938721266385,4.86661810412829,4.86661810412829,7,8,15,2,7,9,2.5641025641025643,15.384615384615385,17.94871794871795,2,17,19,5.0,0.0,11,4,31.03448275862069,32.55813953488372,128.2051282051282,128.2051282051282,27.586206896551722,1.125,2.5,3.625,1.2727272727272727,2.6363636363636362,3.909090909090909,1.0,0.5333333333333333,1.0,0.038461538461538464,0.03,0.03,0.03,0.03
0,Autumn,1,0,10,LE,Female,0.0,0.0,0.0,300.0,300,300,8.0,7.0,15.0,8,7,15,4948,7926,12874,4.185031920432769,4.420351882127958,4.185031920432769,7,6,13,1,1,2,1.0,1.0,2.0,1,1,2,12.0,1.0,26,4,26,53.333333333333336,53.333333333333336,0.0,0.0,0.0,0.0,0.3076923076923077,0.2692307692307692,0.5769230769230769,0.3076923076923077,0.2692307692307692,0.5769230769230769,0.0,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,0.010256410256410256,0.010256410256410256,LE_10_0,0.0,0.0,0.0,300.0,300,300,3.0,5.0,8.0,3,5,8,2132,4234,6366,4.022593314021462,5.052101142933652,4.022593314021462,3,4,7,0,1,1,0.0,1.0,1.0,0,1,1,1.0,2.0,12,4,37.5,37.5,0.0,0.0,0.0,0.0,0.25,0.4166666666666667,0.6666666666666666,0.25,0.4166666666666667,0.6666666666666666,0.0,0.0,0.0,0.0,0.0033333333333333335,0.005128205128205128,0.004048582995951417,0.004048582995951417,100.0,100.0,195,195,9.23076923076923,21.53846153846154,30.76923076923077,11,23,34,6675,16474,23149,4.401176442169203,4.765109497206718,4.401176442169203,5,8,13,1,5,6,1.5384615384615385,9.23076923076923,10.76923076923077,2,8,10,1.0,4.0,18,4,30.0,32.35294117647059,153.84615384615384,153.84615384615384,40.0,0.6666666666666666,1.5555555555555556,2.2222222222222223,0.6111111111111112,1.2777777777777777,1.8888888888888888,1.0,0.6153846153846154,1.0,0.03076923076923077,0.024291497975708502,0.02,0.024291497975708502,0.02,100.0,100.0,247,247,8.502024291497976,19.4331983805668,27.93522267206478,13,25,38,6635,13458,20093,4.255923458732901,4.737923805127832,4.255923458732901,6,8,14,1,6,7,1.214574898785425,9.7165991902834,10.931174089068826,2,10,12,3.0,2.0,17,4,30.434782608695652,34.21052631578947,121.4574898785425,121.4574898785425,34.78260869565217,0.6363636363636364,1.4545454545454546,2.090909090909091,0.7647058823529411,1.4705882352941178,2.235294117647059,1.0,0.5714285714285714,1.0,0.02834008097165992,0.023333333333333334,0.027237354085603113,0.023333333333333334,0.027237354085603113
