Animal,Generation,Season,Separation,G_S,Paradigm,Date_Ambitus,Year,NR,Group,Sex,GR_Sex,Trials,EAT_E_Nr,EAT_E_%,EAT_I_Nr,EAT_I_%,EAT_TOT_Nr,EAT_TOT_%%,EAT_E_T,EAT_I_T,EAT_TOT_T,Expl_E_BEF_Nr,Expl_I_BEF_Nr,Expl_E_I_BEF_Nr,Expl_E_BEF_Calc,Expl_I_BEF_Calc,EXPL_BEF,Expl_E_AFT_Nr,Expl_I_AFT_Nr,Expl_E_I_AFT_Nr,Expl_E_AFT_Calc,Expl_I_AFT_Calc,Expl_E_I_AFT_Calc,Expl_E_BEF_AFT_Nr,Expl_I_BEF_AFT_Nr,EXPL_TOT,Expl_E_BEF_T,Expl_I_BEF_T,Expl_E_I_BEF_T,Expl_E_BEF_Calc_T,Expl_I_BEF_Calc_T,Expl_E_I_BEF_Calc_T,Expl_E_AFT_T,Expl_I_AFT_T,Expl_E_I_AFT_T,Expl_E_AFT_T_Calc,Expl_I_AFT_T_Calc,Expl_E_I_AFT_T_Calc,Expl_E_BEF_AFT_T,Expl_I_BEF_AFT_T,Expl_TOT_T,LAT_E,LAT_I,LAT_E_I,Lat_Tot_Log,Lat_E_Log,Lat_I_Log,Box_E_BEF_Nr,Box_I_BEF_Nr,Box_E_I_BEF_Nr,Box_REP_E_BEF_Nr,Box_REP_I_BEF_Nr,Box_REP_E_I_BEF_Nr,Expl_REP_E_BEF_Nr,Expl_REP_I_BEF_Nr,Expl_REP_BEF_Nr,Expl_REP_E_BEF_Calc_T,Expl_REP_I_BEF_Calc_T,Expl_REP_E_I_BEF_Calc_T,Expl_REP_E_AFT_Nr,Expl_REP_I_AFT_Nr,Expl_REP_AFT_Nr,Expl_REP_E_AFT_Nr_Calc,Expl_REP_I_AFT_Nr_Calc,Expl_REP_AFT_Nr_Calc,Expl_REP_E_BEF_AFT_Nr,Expl_REP_I_BEF_AFT_Nr,Expl_REP_TOT_Nr,Dir_Change_Nr,Circle_Nr,LOCO_TOT,Explored Area,Loco_BEF_NR,LOCO_BEF,Expl_E_BEF_Ratio,Expl_E_TOT_Ratio,L_C_E,L_C_I,L_C_Tot,L_C,A_E,Expl_E_BEF_Loco_ratio,Expl_I_BEF_Loco_ratio,Expl_EI_BEF_Loco_ratio,Expl_E_TOT_Loco_ratio,Expl_I_TOT_Loco_ratio,Expl_E_I_TOT_Loco_ratio,Eff_Expl_E,Eff_Expl_I,Eff_Expl_EI,E_E
LE2F3_3,0,Autumn,2019-08-26,0_Autumn,2,2019-10-07,0,3,Lisket,Male,Lisket_Male,3,,,8,100.0,8,100.0,,162,162,20,18,38,37.03703703703704,33.333333333333336,70.37037037037037,19.0,21.0,40,41.30434782608695,45.65217391304348,86.95652173913044,39,39,78,10026.0,13696.0,23722.0,18566.666666666668,25362.962962962964,43929.62962962963,7372.0,15095.0,22467.0,16026.08695652174,32815.217391304344,48841.30434782609,17398,28791,46189,45217,27110,27110,4.655301744947294,4.433129517580485,4.433129517580485,8,8,16,8,6,14,12,10,22,22.22222222222222,18.51851851851852,40.74074074074074,11,13,24,23.91304347826087,28.26086956521739,52.17391304347826,23,23,46,2.0,6.0,30,4,16,29.62962962962963,52.63157894736842,50.0,,185.1851851851852,92.5925925925926,185.1851851851852,21.05263157894737,1.25,1.125,2.375,1.3,1.3,2.6,,1.0,0.5,1.0
LE2F4_3,0,Autumn,2019-08-26,0_Autumn,2,2019-10-07,0,3,Lisket,Male,Lisket_Male,4,,,8,100.0,8,100.0,,92,92,6,14,20,19.565217391304348,45.65217391304348,65.21739130434783,21.0,26.0,47,30.28846153846154,37.5,67.78846153846153,27,40,67,2349.0,7079.0,9428.0,7659.782608695652,23083.695652173912,30743.478260869564,13488.0,16450.0,29938.0,19453.846153846152,23725.96153846154,43179.807692307695,15837,23529,39366,41387,13781,13781,4.616863947041849,4.139280732718524,4.139280732718524,6,8,14,0,6,6,0,6,6,0.0,19.565217391304348,19.565217391304348,13,18,31,18.75,25.96153846153846,44.71153846153846,13,24,37,11.0,0.0,13,3,2,6.521739130434782,30.0,40.298507462686565,,326.0869565217391,163.04347826086956,326.0869565217391,40.0,3.0,7.0,10.0,2.076923076923077,3.076923076923077,5.153846153846154,,1.0,0.5714285714285714,1.0
LE2F1_4,0,Autumn,2019-08-26,0_Autumn,1,2019-10-07,0,4,LE,Male,LE_Male,1,7.0,87.5,7,87.5,14,87.5,300.0,300,300,11,15,26,11.0,15.0,26.0,0.0,0.0,0,,,,11,15,26,12076.0,14225.0,26301.0,12076.0,14225.0,26301.0,0.0,0.0,0.0,,,,12076,14225,26301,11549,16548,11549,4.062544381346465,4.2187455122234745,4.062544381346465,7,8,15,4,4,8,4,7,11,4.0,7.0,11.0,0,0,0,,,,4,7,11,7.0,0.0,8,3,8,8.0,42.30769230769231,42.30769230769231,87.5,87.5,87.5,87.5,53.84615384615385,1.375,1.875,3.25,1.375,1.875,3.25,1.0,0.875,0.9333333333333333,0.9333333333333333
LE2F2_4,0,Autumn,2019-08-26,0_Autumn,1,2019-10-07,0,4,LE,Male,LE_Male,2,8.0,100.0,7,87.5,15,93.75,146.0,300,300,34,21,55,34.0,21.0,55.0,0.0,0.0,0,,,,34,21,55,20786.0,10466.0,31252.0,20786.0,10466.0,31252.0,0.0,0.0,0.0,,,,20786,10466,31252,15845,47776,15845,4.199892243526319,4.6792097860449315,4.199892243526319,8,8,16,8,7,15,26,13,39,26.0,13.0,39.0,0,0,0,,,,26,13,39,12.0,0.0,12,2,12,12.0,61.81818181818182,61.81818181818182,205.4794520547945,87.5,93.75,93.75,27.272727272727273,2.8333333333333335,1.75,4.583333333333333,2.8333333333333335,1.75,4.583333333333333,1.0,0.875,0.9375,0.9375
LE2F3_4,0,Autumn,2019-08-26,0_Autumn,2,2019-10-07,0,4,LE,Male,LE_Male,3,,,8,100.0,8,100.0,,144,144,6,14,20,12.5,29.166666666666668,41.666666666666664,15.0,13.0,28,28.846153846153847,25.0,53.84615384615385,21,27,48,2477.0,13395.0,15872.0,5160.416666666667,27906.25,33066.666666666664,8474.0,6976.0,15450.0,16296.153846153846,13415.384615384615,29711.53846153846,10951,20371,31322,46250,3670,3670,4.665111737075051,3.5646660642520893,3.5646660642520893,4,8,12,2,4,6,2,6,8,4.166666666666667,12.5,16.666666666666668,7,5,12,13.461538461538462,9.615384615384615,23.076923076923077,9,11,20,6.0,0.0,17,4,6,12.5,30.0,43.75,,208.33333333333334,104.16666666666667,208.33333333333334,40.0,1.0,2.3333333333333335,3.3333333333333335,1.2352941176470589,1.588235294117647,2.823529411764706,,1.0,0.6666666666666666,1.0
LE2F4_4,0,Autumn,2019-08-26,0_Autumn,2,2019-10-07,0,4,LE,Male,LE_Male,4,,,8,100.0,8,100.0,,117,117,9,17,26,23.076923076923077,43.58974358974359,66.66666666666667,22.0,24.0,46,36.0655737704918,39.34426229508197,75.40983606557377,31,41,72,5487.0,10969.0,16456.0,14069.23076923077,28125.641025641027,42194.8717948718,10361.0,17217.0,27578.0,16985.245901639344,28224.590163934427,45209.83606557377,15848,28186,44034,12260,27230,12260,4.088490470182396,4.435047641339964,4.088490470182396,6,8,14,2,7,9,3,9,12,7.6923076923076925,23.076923076923077,30.76923076923077,14,16,30,22.950819672131146,26.229508196721312,49.18032786885246,17,25,42,11.0,0.0,11,2,2,5.128205128205129,34.61538461538461,43.05555555555556,,256.4102564102564,128.2051282051282,256.4102564102564,30.76923076923077,4.5,8.5,13.0,2.8181818181818183,3.727272727272727,6.545454545454546,,1.0,0.5714285714285714,1.0
LE2F1_5,0,Autumn,2019-08-26,0_Autumn,1,2019-10-07,0,5,Lisket,Male,Lisket_Male,1,4.0,50.0,6,75.0,10,62.5,300.0,300,300,5,9,14,5.0,9.0,14.0,0.0,0.0,0,,,,5,9,14,5628.0,10027.0,15655.0,5628.0,10027.0,15655.0,0.0,0.0,0.0,,,,5628,10027,15655,9088,17641,9088,3.958468318366944,4.246523199966574,3.958468318366944,5,6,11,0,3,3,0,4,4,0.0,4.0,4.0,0,0,0,,,,0,4,4,7.0,0.0,8,2,8,8.0,35.714285714285715,35.714285714285715,50.0,75.0,62.5,62.5,71.42857142857143,0.625,1.125,1.75,0.625,1.125,1.75,0.8,1.0,0.9090909090909091,0.9090909090909091
LE2F2_5,0,Autumn,2019-08-26,0_Autumn,1,2019-10-07,0,5,Lisket,Male,Lisket_Male,2,8.0,100.0,6,75.0,14,87.5,271.0,300,300,20,14,34,20.0,14.0,34.0,0.0,0.0,0,,,,20,14,34,12698.0,12561.0,25259.0,12698.0,12561.0,25259.0,0.0,0.0,0.0,,,,12698,12561,25259,97432,4233,4233,4.98870161746359,3.6266482684740105,3.6266482684740105,8,6,14,6,4,10,12,8,20,12.0,8.0,20.0,0,0,0,,,,12,8,20,3.0,1.0,12,4,12,12.0,58.8235294117647,58.8235294117647,110.7011070110701,75.0,87.5,87.5,41.1764705882353,1.6666666666666667,1.1666666666666667,2.8333333333333335,1.6666666666666667,1.1666666666666667,2.8333333333333335,1.0,1.0,1.0,1.0
LE2F3_5,0,Autumn,2019-08-26,0_Autumn,2,2019-10-07,0,5,Lisket,Male,Lisket_Male,3,,,8,100.0,8,100.0,,274,274,11,22,33,12.043795620437956,24.087591240875913,36.13138686131387,1.0,2.0,3,11.538461538461538,23.076923076923077,34.61538461538461,12,24,36,5287.0,17639.0,22926.0,5788.686131386861,19312.77372262774,25101.4598540146,313.0,806.0,1119.0,3611.5384615384614,9300.0,12911.538461538461,5600,18445,24045,54156,15116,15116,4.733646579567771,4.179436883244977,4.179436883244977,7,8,15,4,7,11,4,14,18,4.37956204379562,15.328467153284672,19.708029197080293,0,1,1,0.0,11.538461538461538,11.538461538461538,4,15,19,2.0,2.0,12,4,12,13.138686131386862,33.333333333333336,33.333333333333336,,109.48905109489051,54.74452554744526,109.48905109489051,24.242424242424242,0.9166666666666666,1.8333333333333333,2.75,1.0,2.0,3.0,,1.0,0.5333333333333333,1.0
LE2F4_5,0,Autumn,2019-08-26,0_Autumn,2,2019-10-07,0,5,Lisket,Male,Lisket_Male,4,,,8,100.0,8,100.0,,126,126,8,16,24,19.047619047619047,38.095238095238095,57.142857142857146,9.0,13.0,22,15.517241379310345,22.413793103448278,37.93103448275862,17,29,46,6512.0,9882.0,16394.0,15504.761904761905,23528.571428571428,39033.333333333336,10438.0,12445.0,22883.0,17996.55172413793,21456.896551724138,39453.44827586207,16950,22327,39277,36948,19925,19925,4.567590934950823,4.29939833006815,4.29939833006815,7,8,15,1,6,7,1,8,9,2.380952380952381,19.047619047619047,21.428571428571427,1,6,7,1.7241379310344827,10.344827586206897,12.068965517241379,2,14,16,8.0,0.0,9,2,3,7.142857142857143,33.333333333333336,36.95652173913044,,238.0952380952381,119.04761904761905,238.0952380952381,33.333333333333336,2.6666666666666665,5.333333333333333,8.0,1.8888888888888888,3.2222222222222223,5.111111111111111,,1.0,0.5333333333333333,1.0
